구별,면적,경도,위도,분류,크기
중구,2896887,126.9903773,37.5501402,대형,15
강동구,80683,127.1547791,37.5403935,소형,3
과천시,9132690,127.0198465,37.4264494,대형,15
성동구,480994,127.0417982,37.5430717,중형,7
마포구,2284085,126.878907,37.571805,대형,15
종로구,8948,126.9780227,37.5750449,소형,3
영등포구,6456,126.9112668,37.519832,소형,3
성동구,80309,127.0217653,37.5572281,소형,3
강서구,1980,126.86115,37.5575833,소형,3
성동구,5197,127.0524023,37.5448144,소형,3
강동구,11467,127.1471618,37.5504807,소형,3
영등포구,229539,126.922377,37.526129,중형,7
동대문구,15179,127.0488644,37.5732438,소형,3
중구,16734,127.0038188,37.5675245,소형,3
영등포구,61544,126.910662,37.515423,소형,3
동작구,424106,126.918289,37.492333,중형,7
광진구,560552,127.0809212,37.5498987,중형,7
강동구,26696,127.1263451,37.5444741,소형,3
용산구,75900,126.983335,37.522226,소형,3
서대문구,113021,126.956771,37.5738289,중형,7
종로구,201779,127.007587,37.580477,중형,7
서초구,258991,127.035042,37.471225,중형,7
관악구,10420819,126.96413,37.445208,대형,15
용산구,171294,126.95993,37.545234,중형,7
금천구,15000,126.9079509,37.469625,소형,3
성북구,297926,127.0252858,37.5965837,중형,7
구로구,411972,126.8485734,37.4888943,중형,7
종로구,98470,126.9685341,37.570773,소형,3
동작구,2038741,126.9736849,37.4998621,대형,15
양천구,603715,126.8479643,37.5138358,중형,7
구로구,108120,126.8521495,37.5042944,중형,7
양천구,29619,126.8763932,37.5349739,소형,3
강서구,29843,126.8526745,37.5679874,소형,3
서대문구,126026,126.9229851,37.5690506,중형,7
강서구,135002,126.838952,37.5735645,중형,7
동작구,384026,126.9640735,37.4845836,중형,7
강서구,180000,126.8157075,37.5801585,중형,7
동작구,416031,126.928607,37.510234,중형,7
동대문구,160720,127.0626512,37.5750896,중형,7
강남구,2277252,127.0809639,37.4796489,대형,15
종로구,19599,126.9882853,37.5710052,소형,3
양천구,138596,126.8689146,37.5082119,중형,7
송파구,185295,127.1586644,37.5005173,중형,7
강남구,254648,127.0450338,37.4903127,중형,7
강남구,29816,127.0350296,37.5246752,소형,3
성북구,762642,127.0511145,37.6020055,중형,7
도봉구,664905,127.0455446,37.648316,중형,7
강동구,99599,127.1676703,37.5598341,소형,3
종로구,5802,127.0027886,37.5802295,소형,3
영등포구,16500,126.9302895,37.5177329,소형,3
송파구,585652,127.1387,37.4957083,중형,7
강동구,649709,127.1613641,37.5537143,중형,7
강서구,72132,126.8132285,37.5819812,소형,3
송파구,66027,127.0762885,37.5102779,소형,3
동대문구,265582,127.0641623,37.5812324,중형,7
서대문구,2088704,126.9390273,37.5798246,대형,15
강서구,112070,126.8689817,37.5579702,중형,7
서대문구,993724,126.928616,37.5879662,중형,7
