구별,면적,경도,위도
중구,2896887,126.9903773,37.5501402
강동구,80683,127.1547791,37.5403935
과천시,9132690,127.0198465,37.4264494
성동구,480994,127.0417982,37.5430717
마포구,2284085,126.878907,37.571805
종로구,8948,126.9780227,37.5750449
영등포구,6456,126.9112668,37.519832
성동구,80309,127.0217653,37.5572281
강서구,1980,126.86115,37.5575833
성동구,5197,127.0524023,37.5448144
강동구,11467,127.1471618,37.5504807
영등포구,229539,126.922377,37.526129
동대문구,15179,127.0488644,37.5732438
중구,16734,127.0038188,37.5675245
영등포구,61544,126.910662,37.515423
동작구,424106,126.918289,37.492333
광진구,560552,127.0809212,37.5498987
강동구,26696,127.1263451,37.5444741
용산구,75900,126.983335,37.522226
서대문구,113021,126.956771,37.5738289
종로구,201779,127.007587,37.580477
서초구,258991,127.035042,37.471225
관악구,10420819,126.96413,37.445208
용산구,171294,126.95993,37.545234
금천구,15000,126.9079509,37.469625
성북구,297926,127.0252858,37.5965837
구로구,411972,126.8485734,37.4888943
종로구,98470,126.9685341,37.570773
동작구,2038741,126.9736849,37.4998621
양천구,603715,126.8479643,37.5138358
구로구,108120,126.8521495,37.5042944
양천구,29619,126.8763932,37.5349739
강서구,29843,126.8526745,37.5679874
서대문구,126026,126.9229851,37.5690506
강서구,135002,126.838952,37.5735645
동작구,384026,126.9640735,37.4845836
강서구,180000,126.8157075,37.5801585
동작구,416031,126.928607,37.510234
동대문구,160720,127.0626512,37.5750896
강남구,2277252,127.0809639,37.4796489
종로구,19599,126.9882853,37.5710052
양천구,138596,126.8689146,37.5082119
송파구,185295,127.1586644,37.5005173
강남구,254648,127.0450338,37.4903127
강남구,29816,127.0350296,37.5246752
성북구,762642,127.0511145,37.6020055
도봉구,664905,127.0455446,37.648316
강동구,99599,127.1676703,37.5598341
종로구,5802,127.0027886,37.5802295
영등포구,16500,126.9302895,37.5177329
송파구,585652,127.1387,37.4957083
강동구,649709,127.1613641,37.5537143
강서구,72132,126.8132285,37.5819812
송파구,66027,127.0762885,37.5102779
동대문구,265582,127.0641623,37.5812324
서대문구,2088704,126.9390273,37.5798246
강서구,112070,126.8689817,37.5579702
서대문구,993724,126.928616,37.5879662
송파구,219167,127.1323957,37.5038715
강북구,1349556,127.0317269,37.6327957
은평구,1511198,126.9020153,37.604071
구로구,1097565,126.83695,37.5002598
강남구,328018,127.0554961,37.5139026
송파구,1447122,127.122959,37.520934
종로구,207790,126.9901672,37.5907944
중랑구,1018689,127.0923625,37.6106404
종로구,954553,126.9737295,37.5929992
강북구,1667848,127.000938,37.624549
마포구,13224,126.911414,37.546797
은평구,130345,126.9298962,37.6188016
노원구,5332422,127.0952714,37.6636719
중랑구,5107964,127.0905888,37.5731968
동작구,47832,126.948636,37.5137049
양천구,213552,126.8783125,37.5429593
종로구,168099,126.9674018,37.5759864
강서구,359435,126.844932,37.5541932
동작구,36660,126.9743686,37.4860183
종로구,380735,126.9842875,37.5895821
종로구,1807420,126.9578438,37.5849001
동작구,359342,126.9385469,37.492299
강동구,632733,127.1574587,37.5431657
도봉구,328018,127.0271316,37.6531456
노원구,6691885,127.0813633,37.699232
송파구,285757,127.0983002,37.5069328
영등포구,110407,126.90014,37.543418
중구,29682,126.9652702,37.5560189
성북구,137759,127.0078625,37.5948509
강서구,917190,126.8517836,37.5421979
도봉구,51470,127.047938,37.689585
강북구,662543,127.0407344,37.6233355
양천구,217946,126.8304789,37.5278392
중랑구,179666,127.1093075,37.6049896
강북구,34955,127.0116241,37.652331
금천구,18083,126.908681,37.468164
금천구,4835,126.9040127,37.4468663
금천구,19650,126.9090028,37.4734274
도봉구,7000,127.031982,37.6597135
도봉구,10712,127.0509895,37.6473889
동대문구,17182,127.0390042,37.5732791
마포구,160349,126.8859012,37.5760106
마포구,87432,126.9289936,37.5517298
성동구,13467,127.0189457,37.5494726
성동구,46871,127.0212054,37.543564
송파구,49972,127.1275819,37.4862156
서초구,74385,127.030517,37.467654
종로구,8868,126.9758875,37.5735
관악구,10634,126.938511,37.4642128
도봉구,22113,127.0405382,37.6479483
은평구,1082847,126.9134338,37.6374823
서초구,3692455,127.0424726,37.4224347
강서구,386500,126.8068278,37.5813917
광진구,23450,127.1010031,37.5517142
서초구,2400833,127.0666632,37.4482109
서초구,2752421,127.061567,37.4689473
서초구,4180551,127.0091324,37.470484
은평구,147859,126.9240693,37.6293824
은평구,111650,126.9102948,37.5920771
강남구,519782,127.092184,37.4880445
강남구,59347,127.052453,37.5213259
강동구,25500,127.1533951,37.5372715
은평구,2560,126.9207354,37.619052
중랑구,32000,127.113261,37.6054218
종로구,45615,127.0178267,37.5764419
중랑구,631021,127.0987817,37.5877155
중랑구,109635,127.095997,37.5797622
마포구,140022,126.8932455,37.57171848
강남구,157535,127.115594,37.472332
