title,writer,price
처음 배우는 매트랩,방성완 ,"30,000원"
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀 ,"34,000원"
정보교과교육론(3판),"최현종 , 전용주 ","30,000원"
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관 ,"22,000원"
경제수학 강의(3판),김성현 ,"23,000원"
글로벌 사회와 리더십(2판),안광현 ,"28,000원"
행동 재무론,고광수 ,"32,000원"
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석 , 김지연 ","24,000원"
MATLAB으로 배우는 공학 수치해석(3판),방성완 ,"28,000원"
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석 ,"30,000원"
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli , Peter C. Bruce , Peter Gedeck , Nitin R. Patel ","39,000원"
현대경영과학(9판),김세헌 ,"35,000원"
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일 , 홍성혁 ","32,000원"
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호 ,"32,000원"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남 , 박길식 ","34,000원"
"STEM CookBook, 전기 및 하이브리드 자동차(3판)",Iqbal Husain ,"35,000원"
"IT CookBook, 컴퓨터 비전과 딥러닝",오일석 ,"39,000원"
리더십 : 이론과 실제 (9판),Peter G. Northouse ,"36,000원"
처음 배우는 매트랩,방성완 ,"30,000원"
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀 ,"34,000원"
정보교과교육론(3판),"최현종 , 전용주 ","30,000원"
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관 ,"22,000원"
경제수학 강의(3판),김성현 ,"23,000원"
글로벌 사회와 리더십(2판),안광현 ,"28,000원"
행동 재무론,고광수 ,"32,000원"
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석 , 김지연 ","24,000원"
MATLAB으로 배우는 공학 수치해석(3판),방성완 ,"28,000원"
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석 ,"30,000원"
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli , Peter C. Bruce , Peter Gedeck , Nitin R. Patel ","39,000원"
현대경영과학(9판),김세헌 ,"35,000원"
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일 , 홍성혁 ","32,000원"
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호 ,"32,000원"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남 , 박길식 ","34,000원"
"STEM CookBook, 전기 및 하이브리드 자동차(3판)",Iqbal Husain ,"35,000원"
"IT CookBook, 컴퓨터 비전과 딥러닝",오일석 ,"39,000원"
리더십 : 이론과 실제 (9판),Peter G. Northouse ,"36,000원"
처음 배우는 매트랩,방성완 ,"30,000원"
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀 ,"34,000원"
정보교과교육론(3판),"최현종 , 전용주 ","30,000원"
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관 ,"22,000원"
경제수학 강의(3판),김성현 ,"23,000원"
글로벌 사회와 리더십(2판),안광현 ,"28,000원"
행동 재무론,고광수 ,"32,000원"
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석 , 김지연 ","24,000원"
MATLAB으로 배우는 공학 수치해석(3판),방성완 ,"28,000원"
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel , John M. Cimbala , Afshin J. Ghajar ","34,000원"
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석 ,"30,000원"
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli , Peter C. Bruce , Peter Gedeck , Nitin R. Patel ","39,000원"
현대경영과학(9판),김세헌 ,"35,000원"
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일 , 홍성혁 ","32,000원"
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호 ,"32,000원"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남 , 박길식 ","34,000원"
